path	bytes	subsystem	artifact_kind	responsibility	key_symbols_or_surface	expected_depth	actual_depth	status	inspector	evidence_refs	issue_ids	limitations_or_exclusion_reason
backend\booking-service\mvn_test.log	619944	backend/booking-service	source-or-artifact	repository asset	mvn_test	C	C	census	Codex census	final-file-coverage census		Classified only; behavioral content not deeply inspected
backend\booking-service\mvn_v58.log	4400	backend/booking-service	source-or-artifact	repository asset	mvn_v58	C	C	census	Codex census	final-file-coverage census		Classified only; behavioral content not deeply inspected
backend\booking-service\pom.xml	4077	backend/booking-service	source-or-artifact	repository asset	pom	C	C	census	Codex census	final-file-coverage census		Classified only; behavioral content not deeply inspected
backend\booking-service\src\main\java\com\skbingegalaxy\booking\BookingServiceApplication.java	843	backend/booking-service	backend-service	domain/application transaction logic	BookingServiceApplication	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\client\AvailabilityClient.java	299	backend/booking-service	backend-integration	external/event/configuration integration	AvailabilityClient	A	B	partial	Codex/current catalog sweep	final-file-coverage census		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\client\AvailabilityClientFallback.java	2183	backend/booking-service	backend-integration	external/event/configuration integration	AvailabilityClientFallback	A	B	partial	Codex/current catalog sweep	final-file-coverage census		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\client\HttpAuthContactClient.java	3133	backend/booking-service	backend-integration	external/event/configuration integration	HttpAuthContactClient	A	B	partial	Codex/current catalog sweep	final-file-coverage census		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\client\HttpAuthorityLockClient.java	4428	backend/booking-service	backend-integration	external/event/configuration integration	HttpAuthorityLockClient	A	B	partial	Codex/current catalog sweep	final-file-coverage census		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\client\HttpAvailabilityClient.java	2318	backend/booking-service	backend-integration	external/event/configuration integration	HttpAvailabilityClient	A	B	partial	Codex/current catalog sweep	final-file-coverage census		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\config\AdminEventBus.java	4699	backend/booking-service	backend-integration	external/event/configuration integration	AdminEventBus	A	B	partial	Codex/current catalog sweep	final-file-coverage census		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\config\AuthorityLockInterceptor.java	5582	backend/booking-service	backend-integration	external/event/configuration integration	AuthorityLockInterceptor	A	B	partial	Codex/current catalog sweep	final-file-coverage census		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\config\AuthorityLockWebConfig.java	1581	backend/booking-service	backend-integration	external/event/configuration integration	AuthorityLockWebConfig	A	B	partial	Codex/current catalog sweep	final-file-coverage census		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\config\BingeAboutSchemaMigration.java	1326	backend/booking-service	backend-integration	external/event/configuration integration	BingeAboutSchemaMigration	A	B	partial	Codex/current catalog sweep	final-file-coverage census		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\config\BingeContextFilter.java	1508	backend/booking-service	backend-integration	external/event/configuration integration	BingeContextFilter	A	B	partial	Codex/current catalog sweep	final-file-coverage census		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\config\CacheConfig.java	1318	backend/booking-service	backend-integration	external/event/configuration integration	CacheConfig	A	B	partial	Codex/current catalog sweep	final-file-coverage census		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\config\CustomerPricingProfileSchemaMigration.java	3199	backend/booking-service	backend-integration	external/event/configuration integration	CustomerPricingProfileSchemaMigration	A	B	partial	Codex/current catalog sweep	final-file-coverage census		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\config\DataSeeder.java	12145	backend/booking-service	backend-integration	external/event/configuration integration	DataSeeder	A	B	partial	Codex/current catalog sweep	final-file-coverage census		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\config\KafkaConfig.java	5636	backend/booking-service	backend-integration	external/event/configuration integration	KafkaConfig	A	B	partial	Codex/current catalog sweep	final-file-coverage census		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\config\OpenApiConfig.java	717	backend/booking-service	backend-integration	external/event/configuration integration	OpenApiConfig	A	B	partial	Codex/current catalog sweep	final-file-coverage census		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\config\SecurityConfig.java	4806	backend/booking-service	backend-integration	external/event/configuration integration	SecurityConfig	A	B	partial	Codex/current catalog sweep	final-file-coverage census		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\config\ShedLockConfig.java	854	backend/booking-service	backend-integration	external/event/configuration integration	ShedLockConfig	A	B	partial	Codex/current catalog sweep	final-file-coverage census		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\config\TaxRuleAutoSeeder.java	1990	backend/booking-service	backend-integration	external/event/configuration integration	TaxRuleAutoSeeder	A	B	partial	Codex/current catalog sweep	final-file-coverage census		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\controller\AdminBookingController.java	57635	backend/booking-service	backend-controller	HTTP contract and authorization entry point	AdminBookingController	A	B	partial	Codex/current catalog sweep	endpoint/frontend inventories		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\controller\AdminCurrencyController.java	6569	backend/booking-service	backend-controller	HTTP contract and authorization entry point	AdminCurrencyController	A	B	partial	Codex/current catalog sweep	endpoint/frontend inventories		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\controller\AdminNotificationController.java	8432	backend/booking-service	backend-controller	HTTP contract and authorization entry point	AdminNotificationController	A	B	partial	Codex/current catalog sweep	endpoint/frontend inventories		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\controller\AdminOpsController.java	9680	backend/booking-service	backend-controller	HTTP contract and authorization entry point	AdminOpsController	A	B	partial	Codex/current catalog sweep	endpoint/frontend inventories		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\controller\AdminPricingController.java	11194	backend/booking-service	backend-controller	HTTP contract and authorization entry point	AdminPricingController	A	B	partial	Codex/current catalog sweep	endpoint/frontend inventories		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\controller\AdminRecoveryQueueController.java	21175	backend/booking-service	backend-controller	HTTP contract and authorization entry point	AdminRecoveryQueueController	A	B	partial	Codex/current catalog sweep	endpoint/frontend inventories		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\controller\AdminRiskFlagController.java	5175	backend/booking-service	backend-controller	HTTP contract and authorization entry point	AdminRiskFlagController	A	B	partial	Codex/current catalog sweep	endpoint/frontend inventories		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\controller\AdminSseController.java	3053	backend/booking-service	backend-controller	HTTP contract and authorization entry point	AdminSseController	A	B	partial	Codex/current catalog sweep	endpoint/frontend inventories		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\controller\AdminSupportController.java	7549	backend/booking-service	backend-controller	HTTP contract and authorization entry point	AdminSupportController	A	B	partial	Codex/current catalog sweep	endpoint/frontend inventories		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\controller\AdminTaxController.java	5341	backend/booking-service	backend-controller	HTTP contract and authorization entry point	AdminTaxController	A	B	partial	Codex/current catalog sweep	endpoint/frontend inventories		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\controller\BingeController.java	23005	backend/booking-service	backend-controller	HTTP contract and authorization entry point	BingeController	A	B	partial	Codex/current catalog sweep	endpoint/frontend inventories		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\controller\BingeSiteContentController.java	4538	backend/booking-service	backend-controller	HTTP contract and authorization entry point	BingeSiteContentController	A	B	partial	Codex/current catalog sweep	endpoint/frontend inventories		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\controller\BookingAnalyticsController.java	1999	backend/booking-service	backend-controller	HTTP contract and authorization entry point	BookingAnalyticsController	A	B	partial	Codex/current catalog sweep	endpoint/frontend inventories		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\controller\BookingController.java	19224	backend/booking-service	backend-controller	HTTP contract and authorization entry point	BookingController	A	A	complete	Codex + independent verifier	specialist-06/07/08/09; issue register	API-002	Static deep trace; runtime limitations recorded in issue/evidence
backend\booking-service\src\main\java\com\skbingegalaxy\booking\controller\BookingTransferController.java	8111	backend/booking-service	backend-controller	HTTP contract and authorization entry point	BookingTransferController	A	B	partial	Codex/current catalog sweep	endpoint/frontend inventories		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\controller\CheckInController.java	7205	backend/booking-service	backend-controller	HTTP contract and authorization entry point	CheckInController	A	B	partial	Codex/current catalog sweep	endpoint/frontend inventories		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\controller\CustomerFreezeController.java	4539	backend/booking-service	backend-controller	HTTP contract and authorization entry point	CustomerFreezeController	A	B	partial	Codex/current catalog sweep	endpoint/frontend inventories		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\controller\ExportController.java	6581	backend/booking-service	backend-controller	HTTP contract and authorization entry point	ExportController	A	B	partial	Codex/current catalog sweep	endpoint/frontend inventories		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\controller\InternalBookingController.java	4553	backend/booking-service	backend-controller	HTTP contract and authorization entry point	InternalBookingController	A	A	complete	Codex + independent verifier	specialist-06/07/08/09; issue register	SEC-011	Static deep trace; runtime limitations recorded in issue/evidence
backend\booking-service\src\main\java\com\skbingegalaxy\booking\controller\InvoiceController.java	5876	backend/booking-service	backend-controller	HTTP contract and authorization entry point	InvoiceController	A	B	partial	Codex/current catalog sweep	endpoint/frontend inventories		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\controller\MediaController.java	6894	backend/booking-service	backend-controller	HTTP contract and authorization entry point	MediaController	A	B	partial	Codex/current catalog sweep	endpoint/frontend inventories		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\controller\MessageAttachmentController.java	4781	backend/booking-service	backend-controller	HTTP contract and authorization entry point	MessageAttachmentController	A	B	partial	Codex/current catalog sweep	endpoint/frontend inventories		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\controller\MyNotificationController.java	8391	backend/booking-service	backend-controller	HTTP contract and authorization entry point	MyNotificationController	A	B	partial	Codex/current catalog sweep	endpoint/frontend inventories		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\controller\PublicCurrencyController.java	945	backend/booking-service	backend-controller	HTTP contract and authorization entry point	PublicCurrencyController	A	B	partial	Codex/current catalog sweep	endpoint/frontend inventories		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\controller\PublicTaxController.java	1942	backend/booking-service	backend-controller	HTTP contract and authorization entry point	PublicTaxController	A	B	partial	Codex/current catalog sweep	endpoint/frontend inventories		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\controller\SlotHoldController.java	5231	backend/booking-service	backend-controller	HTTP contract and authorization entry point	SlotHoldController	A	B	partial	Codex/current catalog sweep	endpoint/frontend inventories		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\controller\WaitlistController.java	5971	backend/booking-service	backend-controller	HTTP contract and authorization entry point	WaitlistController	A	B	partial	Codex/current catalog sweep	endpoint/frontend inventories		Structural/contract inspection; not whole-file logic proof
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\AddOnDto.java	860	backend/booking-service	backend-dto	request/response/event shape	AddOnDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\AddOnSaveRequest.java	1401	backend/booking-service	backend-dto	request/response/event shape	AddOnSaveRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\AddOnSelection.java	420	backend/booking-service	backend-dto	request/response/event shape	AddOnSelection	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\AdminCreateBookingRequest.java	2707	backend/booking-service	backend-dto	request/response/event shape	AdminCreateBookingRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\AdminNotificationDto.java	1157	backend/booking-service	backend-dto	request/response/event shape	AdminNotificationDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\AdminReviewRequest.java	639	backend/booking-service	backend-dto	request/response/event shape	AdminReviewRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\AuditResultDto.java	512	backend/booking-service	backend-dto	request/response/event shape	AuditResultDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\BillingAddressDto.java	2142	backend/booking-service	backend-dto	request/response/event shape	BillingAddressDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\BingeChangeRequestDto.java	862	backend/booking-service	backend-dto	request/response/event shape	BingeChangeRequestDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\BingeDayHours.java	1002	backend/booking-service	backend-dto	request/response/event shape	BingeDayHours	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\BingeDto.java	2934	backend/booking-service	backend-dto	request/response/event shape	BingeDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\BingeReviewSummaryDto.java	947	backend/booking-service	backend-dto	request/response/event shape	BingeReviewSummaryDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\BingeSaveRequest.java	4442	backend/booking-service	backend-dto	request/response/event shape	BingeSaveRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\BingeSupportContactDto.java	1284	backend/booking-service	backend-dto	request/response/event shape	BingeSupportContactDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\BookedSlotDto.java	813	backend/booking-service	backend-dto	request/response/event shape	BookedSlotDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\BookingAddOnDto.java	326	backend/booking-service	backend-dto	request/response/event shape	BookingAddOnDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\BookingDto.java	4672	backend/booking-service	backend-dto	request/response/event shape	BookingDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\BookingEventLogDto.java	685	backend/booking-service	backend-dto	request/response/event shape	BookingEventLogDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\BookingNoteDto.java	1159	backend/booking-service	backend-dto	request/response/event shape	BookingNoteDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\BookingReviewDto.java	571	backend/booking-service	backend-dto	request/response/event shape	BookingReviewDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\BookingRiskFlagDto.java	1880	backend/booking-service	backend-dto	request/response/event shape	BookingRiskFlagDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\BookingTransferDto.java	856	backend/booking-service	backend-dto	request/response/event shape	BookingTransferDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\BulkBingeTimezoneAssignRequest.java	1262	backend/booking-service	backend-dto	request/response/event shape	BulkBingeTimezoneAssignRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\BulkBingeTimezoneAssignResult.java	586	backend/booking-service	backend-dto	request/response/event shape	BulkBingeTimezoneAssignResult	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\BulkRateCodeAssignRequest.java	594	backend/booking-service	backend-dto	request/response/event shape	BulkRateCodeAssignRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\CancellationPolicyDto.java	1847	backend/booking-service	backend-dto	request/response/event shape	CancellationPolicyDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\CancellationTierDto.java	305	backend/booking-service	backend-dto	request/response/event shape	CancellationTierDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\CancellationTierSaveRequest.java	925	backend/booking-service	backend-dto	request/response/event shape	CancellationTierSaveRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\CategoryDto.java	486	backend/booking-service	backend-dto	request/response/event shape	CategoryDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\CategorySaveRequest.java	666	backend/booking-service	backend-dto	request/response/event shape	CategorySaveRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\CreateBookingRequest.java	2229	backend/booking-service	backend-dto	request/response/event shape	CreateBookingRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\CreateFreezeRequest.java	671	backend/booking-service	backend-dto	request/response/event shape	CreateFreezeRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\CreateSlotHoldRequest.java	1219	backend/booking-service	backend-dto	request/response/event shape	CreateSlotHoldRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\CurrencyRateDto.java	612	backend/booking-service	backend-dto	request/response/event shape	CurrencyRateDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\CustomerAboutExperienceDto.java	1369	backend/booking-service	backend-dto	request/response/event shape	CustomerAboutExperienceDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\CustomerAboutHighlightDto.java	411	backend/booking-service	backend-dto	request/response/event shape	CustomerAboutHighlightDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\CustomerAboutPolicyDto.java	408	backend/booking-service	backend-dto	request/response/event shape	CustomerAboutPolicyDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\CustomerBingeFreezeDto.java	686	backend/booking-service	backend-dto	request/response/event shape	CustomerBingeFreezeDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\CustomerDashboardExperienceDto.java	827	backend/booking-service	backend-dto	request/response/event shape	CustomerDashboardExperienceDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\CustomerDashboardSlideDto.java	764	backend/booking-service	backend-dto	request/response/event shape	CustomerDashboardSlideDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\CustomerDetailDto.java	2954	backend/booking-service	backend-dto	request/response/event shape	CustomerDetailDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\CustomerPricingDto.java	1072	backend/booking-service	backend-dto	request/response/event shape	CustomerPricingDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\CustomerPricingSaveRequest.java	1552	backend/booking-service	backend-dto	request/response/event shape	CustomerPricingSaveRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\CustomerReviewRequest.java	689	backend/booking-service	backend-dto	request/response/event shape	CustomerReviewRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\DashboardStatsDto.java	806	backend/booking-service	backend-dto	request/response/event shape	DashboardStatsDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\EventTypeDto.java	966	backend/booking-service	backend-dto	request/response/event shape	EventTypeDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\EventTypeSaveRequest.java	1740	backend/booking-service	backend-dto	request/response/event shape	EventTypeSaveRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\InternalBingeDto.java	1938	backend/booking-service	backend-dto	request/response/event shape	InternalBingeDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\JoinWaitlistRequest.java	914	backend/booking-service	backend-dto	request/response/event shape	JoinWaitlistRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\OperationalDateDto.java	834	backend/booking-service	backend-dto	request/response/event shape	OperationalDateDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\PublicBingeDto.java	2661	backend/booking-service	backend-dto	request/response/event shape	PublicBingeDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\RateCodeDto.java	1083	backend/booking-service	backend-dto	request/response/event shape	RateCodeDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\RateCodeSaveRequest.java	1758	backend/booking-service	backend-dto	request/response/event shape	RateCodeSaveRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\RecurringBookingRequest.java	1657	backend/booking-service	backend-dto	request/response/event shape	RecurringBookingRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\RecurringBookingResult.java	659	backend/booking-service	backend-dto	request/response/event shape	RecurringBookingResult	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\ReportDto.java	516	backend/booking-service	backend-dto	request/response/event shape	ReportDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\RescheduleBookingRequest.java	1033	backend/booking-service	backend-dto	request/response/event shape	RescheduleBookingRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\ResolvedPricingDto.java	1383	backend/booking-service	backend-dto	request/response/event shape	ResolvedPricingDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\booking-service\src\main\java\com\skbingegalaxy\booking\dto\RoomBlockDto.java	678	backend/booking-service	backend-dto	request/response/event shape	RoomBlockDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
